id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
1,5.78333333333333,0.4708,0.2576669488379,0.7284669488379,42.9499251776044,3.44602448027153,3.36439393004813,0.0248928144395609,0.0162238832531184,0.00866893118644253,0.577693942434522,3.16892725030825,0.365670254167732,0.0924319279933875,2605.2987,2.7438406
2,5.78333333333333,0.6849,0.206143103823551,0.891043103823551,89.0380953039983,3.7692847594609,1.79031990471315,0.0295064523374942,0.0258158313175477,0.00369062101994652,0.656020596917831,3.16892725030825,0.221252221905182,0.14316356036458,2605.2987,2.7438406
3,5.78333333333333,0.3266,0.22706724090025,0.55366724090025,30.2079730911775,2.86677502979752,1.66129247547516,0.0131351382346636,0.0093628872473187,0.00377225098734491,0.463330661321968,3.16892725030825,0.379563165060412,0.0211172680059942,2605.2987,2.7438406
4,4.72857142857143,0.3602,0.198666448378185,0.558866448378185,57.536191292402,4.5518330465912,2.85594484765385,0.0220695068302952,0.0163957026338215,0.00567380419647366,0.742910514946535,2.76679841897233,0.362078630147654,0.106750340122829,2700.6537,2.1640298
5,4.72857142857143,0.4163,0.229128649058511,0.645428649058511,49.3,2.97823425684629,2.12073534388602,0.0172576014548035,0.0123983892112511,0.00485921224355241,0.493168473324851,2.76679841897233,0.347751470386786,0.0663112654777727,2700.6537,2.1640298
6,4.72857142857143,0.3537,0.158947974963181,0.512647974963181,39.9,3.33124105493256,2.11702093532469,0.0151475615175417,0.0117825996112965,0.00336496190624519,0.542706941051485,2.76679841897233,0.315339941299326,0.089178544584145,2700.6537,2.1640298
7,5.64,0.5191,0.200275051546392,0.719375051546392,88.66,3.64230943157428,2.38381488595575,0.0236814147509205,0.0189072282593021,0.00477418649161844,0.616591809143549,2.16881025820093,0.30643212323461,0.096098446445967,3484.5546,2.6669748
8,5.64,0.4721,0.190008499257058,0.662108499257058,NA,3.64533786673154,2.11655818172395,0.0212312805058357,0.0172096400688396,0.00402164043699615,0.611275510331088,2.16881025820093,NA,NA,3484.5546,2.6669748
9,5.64,0.6028,0.355959782608696,0.958759782608696,83.17,3.2875065665545,2.23265306522149,0.0277644365805593,0.0198170895831905,0.0079473469973688,0.564910651156157,2.16881025820093,0.372726330517852,0.0769307899846967,3484.5546,2.6669748
10,3.91,0.2914,0.135168656453601,0.426568656453601,28.3051376886086,4.45764121310763,3.265800494161,0.0174039051454081,0.0129895664949956,0.00441433865041249,0.712278564381299,4.39643736971765,0.332419377448323,0.11021759665112,1591.0898,4.0148005
11,3.91,0.4749,0.292490319891633,0.767390319891633,40.2166249702137,3.33771892539073,2.18739604104643,0.0222487488544342,0.0158508271766806,0.00639792167775361,0.560022902514117,4.39643736971765,0.395582125442457,0.0704270270403612,1591.0898,4.0148005
12,3.91,0.5722,0.160667137809187,0.732867137809187,37.0111048804528,3.06045930430364,2.23890921854118,0.0211091394988016,0.0175119481392254,0.00359719135957616,0.523163220097937,4.39643736971765,0.204041787944592,0.137770031548521,1591.0898,4.0148005
13,5.26666666666667,0.4223,0.254810776545166,0.677110776545166,55.24,3.39886707676254,3.22696253432563,0.0225760639577049,0.0143534156651682,0.00822264829253672,0.563627401226034,2.60842880523732,0.377349912001113,0.087638144049584,2918.0294,2.7367067
14,5.26666666666667,0.6055,0.232102075949367,0.837602075949367,77.64,3.50521861236928,2.06489844647555,0.026016770858412,0.021224098697896,0.00479267216051598,0.602590573725834,2.60842880523732,0.276576702959906,0.112173867128534,2918.0294,2.7367067
15,5.26666666666667,0.479,0.176608563801388,0.655608563801388,62.64,3.212415038825,2.83413315133772,0.0203927898907683,0.0153874680359717,0.00500532185479657,0.539462190652188,2.60842880523732,0.263245845119358,0.112437652359895,2918.0294,2.7367067
16,3.47619047619048,0.3772,0.233804126149803,0.611004126149803,30.1372204871146,3.50056875857933,2.42842161009686,0.0188818952820812,0.0132041453573612,0.00567774992471994,0.573973168415774,4.91266375545852,0.397518494488018,0.0765994049067693,1461.1663,4.5537624
17,3.47619047619048,0.5416,0.195279360691757,0.736879360691757,36.926112573936,3.72160543710025,2.06952404243784,0.0241975683667698,0.020156215047335,0.00404135331943482,0.632694418213697,4.91266375545852,0.263693450199794,0.124125989178787,1461.1663,4.5537624
18,3.47619047619048,0.2702,0.140179564858166,0.410379564858166,24.5294098752705,4.28682159582677,1.92310964357952,0.0142787986820391,0.0115829919519239,0.00269580673011519,0.679829105832419,4.91266375545852,0.343033720096244,0.0987365180683836,1461.1663,4.5537624
19,8.06428571428571,0.5552,0.334385578718108,0.889585578718108,57.559836160472,3.2437006540343,2.01571037988245,0.0247492708502493,0.0180090260311984,0.00674024481905091,0.552817170864489,2.61838440111421,0.387781791638724,0.0688741577337986,2745.8997,2.4276842
20,8.06428571428571,0.4856,0.196097208374875,0.681697208374875,55.7481288681306,3.24349254953893,2.55083862680163,0.020752523157867,0.015750399820561,0.005002123337306,0.545426936702576,2.61838440111421,0.284782086170102,0.104584828178583,2745.8997,2.4276842
21,8.06428571428571,0.2818,0.0794478330658106,0.361247833065811,48.2438430144553,3.00687568030206,1.60322891205843,0.0097471062968062,0.00847337566709121,0.00127373062971499,0.478856493817729,2.61838440111421,0.267924617488586,0.093598592238225,2745.8997,2.4276842
22,5.74285714285714,0.2585,0.149368646662584,0.407868646662584,72.6617517376671,3.41820918849794,1.95880152206003,0.0117619060765743,0.00883607075226718,0.00292583532430717,0.539685191965983,1.56615761899454,0.36435873908748,0.0791648465531202,3270.1766,1.3926097
23,5.74285714285714,0.042,0.00787678344722093,0.0498767834472209,35.6098574800126,4.49136917581128,NA,NA,0.00188637505384074,NA,0.59128858251585,1.56615761899454,0.29085834240924,NA,3270.1766,1.3926097
24,5.74285714285714,0.5627,0.272419217673608,0.835119217673608,71.1479819479043,3.08467413877952,2.75398349681783,0.0248598416758038,0.0173574613789124,0.00750238029689142,0.526420500664668,1.56615761899454,0.321594892744423,0.0899244260451462,3270.1766,1.3926097
25,3.03809523809524,0.2561,0.117432103188821,0.373532103188821,39.001955536451,3.99241317810104,2.4866850614649,0.0131447367164772,0.0102245701491168,0.00292016656736046,0.629755904686949,2.90829430427556,0.326533732026805,0.0971051789134242,2416.466,2.5829204
26,3.03809523809524,0.4422,0.219754105263158,0.661954105263158,46.7612294159348,3.55158046730143,2.2120162192772,0.0205660852773555,0.0157050888264069,0.00486099645094855,0.591669718229836,2.90829430427556,0.337621573354243,0.0820481121190595,2416.466,2.5829204
27,3.03809523809524,0.3432,0.183344986745673,0.526544986745673,46.621090734532,3.67079569180586,2.27911586222273,0.0167768154897885,0.0125981708142777,0.00417864467551079,0.596225781036382,2.90829430427556,0.337431164687199,0.0905601626139405,2416.466,2.5829204
28,7.8952380952381,0.6436,0.503006544458349,1.14660654445835,67.1469292231351,3.70189533942243,2.07561647077188,0.0342658850903607,0.0238253984045228,0.010440486685838,0.640297121771049,3.52103883131477,0.431444341835371,0.0666601679131979,1965.8526,3.2411689
29,7.8952380952381,0.4069,0.286401240192356,0.693301240192356,37.9224557135916,3.24370393096574,2.73136556817073,0.0210212961565276,0.0131986312950996,0.00782266486142797,0.535902503686537,3.52103883131477,0.413892518691666,0.0693964849034247,1965.8526,3.2411689
30,7.8952380952381,0.5465,0.224331419052907,0.770831419052907,55.1148916085453,3.55485654675735,2.50283308333758,0.0250419320004057,0.0194272910280289,0.00561464097237682,0.604890698552356,3.52103883131477,0.309757182035193,0.0980650936661449,1965.8526,3.2411689
31,4.81190476190476,0.073,0.0377532903819604,0.11075329038196,12.6223490886996,4.87355526693235,2.73755401866517,0.0045912120628903,0.00355769534486061,0.00103351671802969,0.678069158637124,3.51586179026066,0.300622141536676,0.111217612479229,1871.6316,2.9904112
32,4.81190476190476,0.3336,0.223451722450577,0.557051722450577,43.8784383481909,4.60297725275209,3.23463765270382,0.0225833856651826,0.015355532115181,0.00722785355000161,0.745516470753416,3.51586179026066,0.423836384340431,0.0987800161761997,1871.6316,2.9904112
