id_sequencage	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	Chlamydiae	Chlorobi	Chloroflexi	Crenarchaeota	Cyanobacteria	Deinococcus.Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Nitrospinae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	TM6	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	Unknown	Unclassified
1	1744.34131507582	6337.73860672245	131.687840443112	6453.74932330328	0	66.8890618123741	3789.68340830732	4.18056636327338	77.3404777205576	8.36113272654677	0	64.7987786307374	0	35.5348140878238	1352.41321851894	1.04514159081835	349.077291333327	7.31599113572842	201.712327027941	3301.60228539515	26719.044769271	0	3.13542477245504	0	0	6.27084954491007	0	0	299.955636564865	97.1981679461062	176.6289288483
2	1996.64986130863	7455.76321704724	159.571615421854	4426.30812627455	2.40560224254052	33.6784313955672	4742.24388746154	8.01867414180172	74.573669518756	5.61307189926121	2.40560224254052	71.3661998620353	0	2.40560224254052	1431.33333431161	0.801867414180172	449.045751940897	2.40560224254052	294.285341004123	3318.12735987755	26315.6847985649	0	5.61307189926121	0	0	6.41493931344138	0.801867414180172	0	168.392156977836	84.1960784889181	171.599626634557
3	2161.89793144225	8577.95366740043	73.7955543905769	3980.80244106915	0	15.5906100825162	4993.1527224272	9.35436604950974	70.6774323740736	5.19687002750541	3.11812201650325	41.5749602200433	0	9.35436604950974	1380.28867930544	1.03937400550108	531.120116811053	5.19687002750541	245.292265298255	3593.11593701724	25116.4728429337	0	2.07874801100216	0	0	2.07874801100216	2.07874801100216	0	199.559809056208	38.4568382035401	170.457336902178
4	2404.28595671088	6329.58708811293	108.198069882272	4337.28608979994	1.04036605656031	34.3320798664903	5071.78452573152	8.32292845248249	37.4531780361712	7.28256239592218	2.08073211312062	52.0183028280156	1.04036605656031	17.6862229615253	1577.19494174543	1.04036605656031	523.304126449837	7.28256239592218	224.719068217027	3618.39314471676	26497.0830945346	0	6.24219633936187	0	0	4.16146422624125	0	0	141.489783692202	72.8256239592218	143.570515805323
5	3124.45450665322	8647.41646537261	90.9685515053258	3817.97712704036	0	11.7088234610815	5135.67010577592	18.0135745555101	22.5169681943876	3.60271491110201	1.80135745555101	10.808144733306	0	6.30475109442852	1588.79727579599	0	638.581217992832	1.80135745555101	258.494794871569	5327.5146747921	22284.5930826215	0	4.50339363887752	0	0	2.70203618332651	0.900678727775503	0.900678727775503	116.18755588304	42.3319002054487	71.1536194942648
6	2119.4069495851	7427.50165426102	77.7453904951472	3287.84129659188	0	27.0418749548338	5415.13545970547	13.5209374774169	34.929088483327	2.25348957956948	1.12674478978474	27.0418749548338	0	6.76046873870845	1350.96700295191	0	441.683957595619	2.25348957956948	178.025676785989	3436.57160884346	26999.058652822	0	2.25348957956948	1.12674478978474	4.50697915913897	2.25348957956948	3.38023436935423	1.12674478978474	129.575650825245	69.858176966654	166.758228888142
7	2646.40058659718	6545.32930620994	123.948096496334	4313.17630527157	0	27.1816001088453	3861.96174346474	3.26179201306143	28.2688641131991	5.43632002176905	0	47.8396161915677	0	6.52358402612286	1663.51392666133	0	527.323042111598	5.43632002176905	182.66035273144	4483.87675395512	26454.2204899326	0	4.34905601741524	0	1.08726400435381	1.08726400435381	2.17452800870762	0	98.9410243961968	66.3231042655825	129.384416518103
8	2139.22648573632	8904.8141145109	102.646536258261	5067.83208659148	0.908376427064256	17.2591521142209	4117.67034388227	9.08376427064256	39.060186363763	9.99214069770682	1.81675285412851	39.9685627908273	0	7.26701141651405	1271.72699788996	0	552.292867655068	1.81675285412851	200.751190381201	4113.12846174695	24207.3234048354	0	5.45025856238554	0	0	6.35863498944979	0.908376427064256	0	247.986764588542	63.5863498944979	100.829783404132
9	1992.4661473768	8423.29233420565	107.907083473908	4429.64027513092	1.08997054014048	41.4188805253384	4788.24058283714	9.80973486126435	50.1386448464622	4.35988216056193	0	62.1283207880075	0	13.0796464816858	1290.52511952633	0	409.828923092822	7.62979378098338	244.153400991468	3593.63287084317	25419.2029666162	0	7.62979378098338	0	1.08997054014048	5.44985270070242	1.08997054014048	0	187.474932904163	62.1283207880075	76.2979378098338
10	1991.02646231748	8594.64629034647	137.412986386081	4564.83991654188	2.92368056140599	25.3385648655186	4646.70297226125	9.74560187135329	79.913935345097	3.89824074854132	0	41.9060880468192	0	15.5929629941653	1457.94203995445	0	390.798635041267	9.74560187135329	272.876852397892	3711.12519261133	24551.1202343132	0	2.92368056140599	1.94912037427066	0	8.77104168421796	3.89824074854132	0	362.536389614342	93.5577779649916	248.512847719509
